pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	category	image
2021-01-01	Macroscopic modeling and dynamic control of on-street cruising-for-parking of autonomous vehicles in a multi-region urban road network	Transportation Research. Part C Emerging Technologies	Research paper published in Transportation Research. Part C Emerging Technologies in 2021.	Zhao, C Liao, Feixiong Li, X Du, Y (2021) 'Macroscopic modeling and dynamic control of on-street cruising-for-parking of autonomous vehicles in a multi-region urban road network' Transportation Research. Part C Emerging Technologies , Vol. 128.0, No. 103176.0 , DOI: 10.1016j.trc.2021.103176	2021-macroscopic-modeling-and-dynamic-control-of-on-str	https://doi.org/10.1016j.trc.2021.103176		journal	/assets/images/paper_01.png
2021-01-01	基于多智能体深度强化学习的停车系统智能延时匹配方法	中国公路学报	Research paper published in 中国公路学报 in 2021.	赵聪张昕源李兴华杜豫川 (2021) '基于多智能体深度强化学习的停车系统智能延时匹配方法' 中国公路学报 , DOI: 10.371552717-5170-0708-9	2021-基于多智能体深度强化学习的停车系统智能延时匹配方法	https://doi.org/10.371552717-5170-0708-9		journal	/assets/images/paper_02.png
2022-01-01	A novel spatio-temporal synchronization method of roadside asynchronous MMW radar-camera for sensor fusion	IEEE Transactions on Intelligent Transportation Systems	Research paper published in IEEE Transactions on Intelligent Transportation Systems in 2022.	Du, Yuchuan Qin, Bohao Zhao, Cong Zhu, Yifan Cao, Jing Ji, Yuxiong (2022) 'A novel spatio-temporal synchronization method of roadside asynchronous MMW radar-camera for sensor fusion' IEEE Transactions on Intelligent Transportation Systems , Vol. 23.0, No. 11.0, pp. 2227822289 , DOI: 10.1109tits.2021.3119079	2022-a-novel-spatio-temporal-synchronization-method-of	https://doi.org/10.1109tits.2021.3119079		journal	/assets/images/paper_03.png
2022-01-01	From Search-for-Parking to Dispatch-for-Parking in an Era of Connected and Automated Vehicles A Macroscopic Approach	Journal of Transportation Engineering, Part A Systems	Research paper published in Journal of Transportation Engineering, Part A Systems in 2022.	Zhao, Cong Cao, Jing Zhang, Xinyuan Du, Yuchuan (2022) 'From Search-for-Parking to Dispatch-for-Parking in an Era of Connected and Automated Vehicles A Macroscopic Approach' Journal of Transportation Engineering, Part A Systems , Vol. 148.0, No. 2.0, pp. 04021112 , DOI: 10.1061jtepbs.0000640	2022-from-search-for-parking-to-dispatch-for-parking-in	https://doi.org/10.1061jtepbs.0000640		journal	/assets/images/paper_04.png
2022-01-01	Comfortable and energy-efficient speed control of autonomous vehicles on rough pavements using deep reinforcement learning	Transportation Research Part C Emerging Technologies	Research paper published in Transportation Research Part C Emerging Technologies in 2022.	Du, Yuchuan Chen, Jing Zhao, Cong Liu, Chenglong Liao, Feixiong Chan, Ching-Yao (2022) 'Comfortable and energy-efficient speed control of autonomous vehicles on rough pavements using deep reinforcement learning' Transportation Research Part C Emerging Technologies , Vol. 134.0, pp. 103489 , DOI: 10.1016j.trc.2021.103489	2022-comfortable-and-energy-efficient-speed-control-of	https://doi.org/10.1016j.trc.2021.103489		journal	/assets/images/paper_05.png
2021-01-01	New generation of smart highway Framework and insights	Journal of Advanced Transportation	Research paper published in Journal of Advanced Transportation in 2021.	Liu, Chenglong Du, Yuchuan Ge, Yiheng Wu, Difei Zhao, Cong Li, Yishun (2021) 'New generation of smart highway Framework and insights' Journal of Advanced Transportation , Vol. 2021.0, No. 1.0, pp. 9445070 , DOI: 10.115520219445070	2021-new-generation-of-smart-highway-framework-and-insi	https://doi.org/10.115520219445070		journal	/assets/images/paper_06.png
2021-01-01	路侧感知车辆轨迹数据质量智能评估方法	中国公路学报	Research paper published in 中国公路学报 in 2021.	杜豫川 都州扬 师钰鹏 赵聪 暨育雄 (2021) '路侧感知车辆轨迹数据质量智能评估方法' 中国公路学报 , Vol. 34.0, No. 7.0, pp. 164-176 , DOI: 10.19721j.cnki.1001-7372.2021.07.013	2021-路侧感知车辆轨迹数据质量智能评估方法	https://doi.org/10.19721j.cnki.1001-7372.2021.07.013		journal	/assets/images/paper_07.png
2022-01-01	Online parking assignment in an environment of partially connected vehicles A multi-agent deep reinforcement learning approach	Transportation Research Part C Emerging Technologies	Research paper published in Transportation Research Part C Emerging Technologies in 2022.	Zhang, Xinyuan Zhao, Cong Liao, Feixiong Li, Xinghua Du, Yuchuan (2022) 'Online parking assignment in an environment of partially connected vehicles A multi-agent deep reinforcement learning approach' Transportation Research Part C Emerging Technologies , Vol. 138.0, pp. 103624 , DOI: 10.1016j.trc.2022.103624	2022-online-parking-assignment-in-an-environment-of-par	https://doi.org/10.1016j.trc.2022.103624		journal	/assets/images/paper_08.png
2022-01-01	A novel direct trajectory planning approach based on generative adversarial networks and rapidly-exploring random tree	IEEE Transactions on Intelligent Transportation Systems	Research paper published in IEEE Transactions on Intelligent Transportation Systems in 2022.	Zhao, Cong Zhu, Yifan Du, Yuchuan Liao, Feixiong Chan, Ching-Yao (2022) 'A novel direct trajectory planning approach based on generative adversarial networks and rapidly-exploring random tree' IEEE Transactions on Intelligent Transportation Systems , Vol. 23.0, No. 10.0, pp. 1791017921 , DOI: 10.1109tits.2022.3164391	2022-a-novel-direct-trajectory-planning-approach-based	https://doi.org/10.1109tits.2022.3164391		journal	/assets/images/paper_09.png
2022-01-01	Quantifying the Performance and Optimizing the Placement of Roadside Sensors for Cooperative Vehicle-Infrastructure Systems	IET Intelligent Transport Systems	Research paper published in IET Intelligent Transport Systems in 2022.	Du, Yuchuan Wang, Fengqi Zhao, Cong Zhu, Yifan Ji, Yuxiong (2022) 'Quantifying the Performance and Optimizing the Placement of Roadside Sensors for Cooperative Vehicle-Infrastructure Systems' IET Intelligent Transport Systems , DOI: 10.1049itr2.12185	2022-quantifying-the-performance-and-optimizing-the-pla	https://doi.org/10.1049itr2.12185		journal	/assets/images/paper_10.png
