pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2021-12-31	Macroscopic modeling and dynamic control of on-street cruising-for-parking of autonomous vehicles in a multi-region urban road network	Transportation Research. Part C: Emerging Technologies	Research article titled 'Macroscopic modeling and dynamic control of on-street cruising-for-parking of autonomous vehicles in a multi-region urban road network' published in Transportation Research. Part C: Emerging Technologies.	Zhao, C; Liao, Feixiong; Li, X; Du, Y. (2021). Macroscopic modeling and dynamic control of on-street cruising-for-parking of autonomous vehicles in a multi-region urban road network. Transportation Research. Part C: Emerging Technologies, 128.0, (103176.0). Elsevier. DOI: https://doi.org/10.1016/j.trc.2021.103176	macroscopic-modeling-and-dynamic-control-of-onstre-ad-network	https://doi.org/10.1016/j.trc.2021.103176	
2021-12-31	基于多智能体深度强化学习的停车系统智能延时匹配方法	中国公路学报	Research article titled '基于多智能体深度强化学习的停车系统智能延时匹配方法' published in 中国公路学报.	赵聪，张昕源，李兴华，杜豫川. (2021). 基于多智能体深度强化学习的停车系统智能延时匹配方法. 中国公路学报. DOI: https://doi.org/10.37155/2717-5170-0708-9	基于多智能体深度强化学习的停车系统智能延时匹配方法	https://doi.org/10.37155/2717-5170-0708-9	
2022-12-31	A novel spatio-temporal synchronization method of roadside asynchronous MMW radar-camera for sensor fusion	IEEE Transactions on Intelligent Transportation Systems	Research article titled 'A novel spatio-temporal synchronization method of roadside asynchronous MMW radar-camera for sensor fusion' published in IEEE Transactions on Intelligent Transportation Systems.	Du, Yuchuan; Qin, Bohao; Zhao, Cong; Zhu, Yifan; Cao, Jing; Ji, Yuxiong. (2022). A novel spatio-temporal synchronization method of roadside asynchronous MMW radar-camera for sensor fusion. IEEE Transactions on Intelligent Transportation Systems, 23.0, (11.0), :22278–22289. IEEE. DOI: https://doi.org/10.1109/tits.2021.3119079	a-novel-spatiotemporal-synchronization-method-of-r-sor-fusion	https://doi.org/10.1109/tits.2021.3119079	
2022-12-31	From Search-for-Parking to Dispatch-for-Parking in an Era of Connected and Automated Vehicles: A Macroscopic Approach	Journal of Transportation Engineering, Part A: Systems	Research article titled 'From Search-for-Parking to Dispatch-for-Parking in an Era of Connected and Automated Vehicles: A Macroscopic Approach' published in Journal of Transportation Engineering, Part A: Systems.	Zhao, Cong; Cao, Jing; Zhang, Xinyuan; Du, Yuchuan. (2022). From Search-for-Parking to Dispatch-for-Parking in an Era of Connected and Automated Vehicles: A Macroscopic Approach. Journal of Transportation Engineering, Part A: Systems, 148.0, (2.0), :04021112. American Society of Civil Engineers. DOI: https://doi.org/10.1061/jtepbs.0000640	from-searchforparking-to-dispatchforparking-in-an--c-approach	https://doi.org/10.1061/jtepbs.0000640	
2022-12-31	Comfortable and energy-efficient speed control of autonomous vehicles on rough pavements using deep reinforcement learning	Transportation Research Part C: Emerging Technologies	Research article titled 'Comfortable and energy-efficient speed control of autonomous vehicles on rough pavements using deep reinforcement learning' published in Transportation Research Part C: Emerging Technologies.	Du, Yuchuan; Chen, Jing; Zhao, Cong; Liu, Chenglong; Liao, Feixiong; Chan, Ching-Yao. (2022). Comfortable and energy-efficient speed control of autonomous vehicles on rough pavements using deep reinforcement learning. Transportation Research Part C: Emerging Technologies, 134.0, :103489. Pergamon. DOI: https://doi.org/10.1016/j.trc.2021.103489	comfortable-and-energyefficient-speed-control-of-a-t-learning	https://doi.org/10.1016/j.trc.2021.103489	
2021-12-31	New generation of smart highway: Framework and insights	Journal of Advanced Transportation	Research article titled 'New generation of smart highway: Framework and insights' published in Journal of Advanced Transportation.	Liu, Chenglong; Du, Yuchuan; Ge, Yiheng; Wu, Difei; Zhao, Cong; Li, Yishun. (2021). New generation of smart highway: Framework and insights. Journal of Advanced Transportation, 2021.0, (1.0), :9445070. Hindawi. DOI: https://doi.org/10.1155/2021/9445070	new-generation-of-smart-highway-framework-and-insi	https://doi.org/10.1155/2021/9445070	
2021-12-31	路侧感知车辆轨迹数据质量智能评估方法	中国公路学报	Research article titled '路侧感知车辆轨迹数据质量智能评估方法' published in 中国公路学报.	杜豫川; 都州扬; 师钰鹏; 赵聪; 暨育雄. (2021). 路侧感知车辆轨迹数据质量智能评估方法. 中国公路学报, 34.0, (7.0), :164-176. DOI: https://doi.org/10.19721/j.cnki.1001-7372.2021.07.013	路侧感知车辆轨迹数据质量智能评估方法	https://doi.org/10.19721/j.cnki.1001-7372.2021.07.013	
2022-12-31	Online parking assignment in an environment of partially connected vehicles: A multi-agent deep reinforcement learning approach	Transportation Research Part C: Emerging Technologies	Research article titled 'Online parking assignment in an environment of partially connected vehicles: A multi-agent deep reinforcement learning approach' published in Transportation Research Part C: Emerging Technologies.	Zhang, Xinyuan; Zhao, Cong; Liao, Feixiong; Li, Xinghua; Du, Yuchuan. (2022). Online parking assignment in an environment of partially connected vehicles: A multi-agent deep reinforcement learning approach. Transportation Research Part C: Emerging Technologies, 138.0, :103624. Pergamon. DOI: https://doi.org/10.1016/j.trc.2022.103624	online-parking-assignment-in-an-environment-of-par-g-approach	https://doi.org/10.1016/j.trc.2022.103624	
2022-12-31	A novel direct trajectory planning approach based on generative adversarial networks and rapidly-exploring random tree	IEEE Transactions on Intelligent Transportation Systems	Research article titled 'A novel direct trajectory planning approach based on generative adversarial networks and rapidly-exploring random tree' published in IEEE Transactions on Intelligent Transportation Systems.	Zhao, Cong; Zhu, Yifan; Du, Yuchuan; Liao, Feixiong; Chan, Ching-Yao. (2022). A novel direct trajectory planning approach based on generative adversarial networks and rapidly-exploring random tree. IEEE Transactions on Intelligent Transportation Systems, 23.0, (10.0), :17910–17921. IEEE. DOI: https://doi.org/10.1109/tits.2022.3164391	a-novel-direct-trajectory-planning-approach-based--andom-tree	https://doi.org/10.1109/tits.2022.3164391	
2022-12-31	Quantifying the Performance and Optimizing the Placement of Roadside Sensors for Cooperative Vehicle-Infrastructure Systems	IET Intelligent Transport Systems	Research article titled 'Quantifying the Performance and Optimizing the Placement of Roadside Sensors for Cooperative Vehicle-Infrastructure Systems' published in IET Intelligent Transport Systems.	Du, Yuchuan; Wang, Fengqi; Zhao, Cong; Zhu, Yifan; Ji, Yuxiong. (2022). Quantifying the Performance and Optimizing the Placement of Roadside Sensors for Cooperative Vehicle-Infrastructure Systems. IET Intelligent Transport Systems. The Institution of Engineering and Technology. DOI: https://doi.org/10.1049/itr2.12185	quantifying-the-performance-and-optimizing-the-pla-re-systems	https://doi.org/10.1049/itr2.12185	
